smiles_std,cos2_mollogp_proxy,neoplastic_80_rule_proxy,x3v_chi3v_proxy
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.5145069817755872,1,3.075046783778657
CC(C)NCC(O)COc1cccc2[nH]ccc12,0.5674551259211772,1,2.7479028014485376
CC(C)NCC(O)COc1cccc2ccccc12,0.4900754895603513,1,2.9425786417040287
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.6590850412441711,1,2.924645256054747
CC(C)Nc1ccccc1,0.49822726641860526,0,1.2291308696101195
CC(C)O,0.7335533532212802,0,0.0
CC(C)OCCO,0.7318567523998466,0,0.5424715564486189
CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](C)N)C(=O)O,0.8564866067968968,1,4.211762510803042
CC(C)[N+](=O)[O-],0.7040328986760963,0,0.421637021355784
CC(C)c1ccccc1,0.46326040397591883,0,1.4662391580785155
CC(CO[N+](=O)[O-])O[N+](=O)[O-],0.7919675610414527,0,0.680664054170909
CC(Cl)(Cl)Cl,0.51328343635659,0,0.0
CC(Cl)CCl,0.5735254846646151,0,0.9878007090540997
CC(Cl)Cl,0.5783761351497346,0,0.0
CC(N)Cc1ccccc1,0.6049016089689015,0,1.4005021979026944
CC(O)C(C)O,0.7960305089439453,0,0.698142396999972
CC(O)COC(=O)c1cccnc1,0.7095314400704259,1,1.35286914555785
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,0.16587291026983159,0,3.041466293033524
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,0.16587291026983159,0,3.041466293033524
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.5084000776691135,1,9.191744754795
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0.5578090042615249,1,8.41149293787658
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,0.47978012205182113,1,8.437777133168886
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0.5816133311641887,1,8.653266583245497
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(N)=O,0.6024502976425591,0,9.449434474560924
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCCCC(=O)O,0.3995280125141177,0,10.145453696731781
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,0.5743020768917056,1,8.26692832912185
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,0.3627155623249308,1,8.506521861267455
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,0.3424918250186085,1,7.911977548938122
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,0.46316827557344314,1,8.718462801628451
CC12CCC(CC1=O)C2(C)C,0.51037432419614,0,4.48276380152203
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,0.489786864501707,1,6.68331450200389
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,0.3492805623151854,1,6.419141686010243
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0.37236921638848486,1,6.660103851837375
CC1=C2C(=CO[C@H](C)[C@H]2C)C(=O)C(C(=O)O)=C1O,0.5885089547630297,1,3.5317473199817484
CC1=CC(=O)C(C(C)C)=CC1=O,0.5946503429540352,0,1.9293819685614664
CC1=CC(=O)CC(C)(C)C1,0.5195963762757754,0,1.817563682992036
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.5685876844709224,1,8.754576107377199
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.5685876844709224,1,8.79125320497435
CC1CCCCC1,0.4890249109579176,0,1.8938468501173518
CC1CO1,0.7317135094185206,0,0.5
CC=O,0.7519141407418488,0,0.0
CCBr,0.6245798494860555,0,0.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,0.30622165620563585,1,6.431079730063596
CCC(=O)O,0.7239118370846577,0,0.30245145030582543
CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.47103794008274164,0,9.162585824010439
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@@]21C,0.3492695521301728,0,9.81174991500426
CCC(C)=O,0.6704340791925663,0,0.49789095789068016
CCC(C)O,0.6928301356466064,0,0.5908224762989184
CCC(C)OC(C)=O,0.6305197427147229,0,0.9420630732918477
CCC(C)c1ccccc1O,0.4522493389273856,0,2.0800444956364226
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,0.641498023931437,1,3.5988445891945795
CCC1(CC)C(=O)NC(=O)NC1=O,0.7565278215036753,1,2.530521524222532
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.6485925539926188,1,3.075432665412927
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7009816876434607,1,3.0262809871232013
CCCC(=O)O,0.6827814252159,0,0.46386547149095514
